churn,sexo,idoso,possui parceiro,possui dependentes,tempo contrato,servico telefone,multiplas linhas,servico internet,suporte tecnico,streaming tv,streaming filmes,contrato conta,preco diario,cobrancas mensais,total de encargos,excedente a mensalidade,churn_label
0,Feminino,0,1,0,10,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.0,187.8,167.8,Permaneceram
1,Masculino,0,1,0,21,1,1,Fibra optica,1,1,1,Mensal,3.7,111.2,2317.1,2205.9,Saíram
1,Masculino,0,1,1,37,0,0,DSL,0,0,0,Mensal,1.3,40.2,1448.8,1408.6,Saíram
0,Feminino,1,0,0,26,1,0,Fibra optica,0,1,0,Mensal,2.9,85.8,2193.6,2107.8,Permaneceram
0,Masculino,0,0,0,50,0,0,DSL,1,0,0,Um ano,1.2,35.4,1748.9,1713.5,Permaneceram
1,Feminino,0,0,0,7,1,1,Fibra optica,0,0,0,Mensal,2.5,73.8,511.2,437.4,Saíram
0,Feminino,0,1,1,61,1,1,DSL,1,1,1,Dois anos,2.9,88.1,5526.8,5438.6,Permaneceram
1,Masculino,0,0,0,15,1,0,Fibra optica,1,1,1,Mensal,3.4,101.4,1554.0,1452.6,Saíram
0,Feminino,0,0,1,26,0,0,DSL,1,0,1,Mensal,1.5,45.8,1147.0,1101.2,Permaneceram
0,Masculino,0,1,0,72,1,0,Fibra optica,0,1,1,Mensal,3.2,94.6,6747.4,6652.7,Permaneceram
0,Masculino,0,1,1,44,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.5,865.0,844.6,Permaneceram
0,Masculino,0,0,0,66,1,1,Fibra optica,0,0,1,Mensal,3.0,89.4,5976.9,5887.5,Permaneceram
1,Feminino,0,0,0,2,1,0,Fibra optica,1,0,0,Mensal,2.9,86.2,181.6,95.4,Saíram
0,Feminino,1,0,0,44,1,0,DSL,1,1,1,Um ano,2.5,74.8,3268.0,3193.2,Permaneceram
1,Feminino,0,0,0,12,1,1,Fibra optica,0,1,0,Mensal,3.0,89.8,1052.4,962.6,Saíram
0,Masculino,1,1,0,69,1,1,Fibra optica,1,1,1,Dois anos,3.7,110.0,7634.2,7524.3,Permaneceram
1,Feminino,0,0,0,1,1,1,Fibra optica,0,0,0,Mensal,2.7,80.2,80.2,0.0,Saíram
1,Feminino,0,0,0,3,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.8,63.8,43.9,Saíram
0,Feminino,0,1,0,2,1,0,Fibra optica,0,1,0,Mensal,3.0,90.4,190.5,100.2,Permaneceram
0,Feminino,1,0,0,27,1,1,Fibra optica,0,0,0,Mensal,2.9,86.4,2401.0,2314.6,Permaneceram
0,Masculino,0,0,0,26,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.3,511.2,491.0,Permaneceram
0,Feminino,1,1,0,39,1,1,Fibra optica,1,1,1,Mensal,3.4,101.2,3949.2,3847.9,Permaneceram
1,Masculino,0,0,0,25,1,1,Fibra optica,0,1,1,Mensal,3.2,94.7,2362.1,2267.4,Saíram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,0,0,Mensal,2.4,70.9,70.9,0.0,Saíram
1,Masculino,0,1,0,22,1,0,DSL,1,0,0,Mensal,1.8,54.2,1152.7,1098.5,Saíram
0,Feminino,0,0,0,72,1,1,Fibra optica,1,1,1,Dois anos,3.8,114.9,8496.7,8381.8,Permaneceram
0,Feminino,0,0,0,24,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.6,470.2,450.6,Permaneceram
0,Feminino,0,1,0,19,1,1,Fibra optica,0,1,0,Mensal,2.9,86.8,1564.4,1477.6,Permaneceram
0,Masculino,0,1,1,71,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.4,1847.6,1822.2,Permaneceram
0,Masculino,1,1,0,33,1,1,Fibra optica,1,1,1,Mensal,3.7,109.9,3694.7,3584.8,Permaneceram
0,Feminino,0,0,0,3,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.0,58.0,38.0,Permaneceram
0,Masculino,0,1,1,47,1,1,Fibra optica,0,1,0,Mensal,2.9,87.2,4017.4,3930.2,Permaneceram
0,Masculino,0,1,1,62,1,0,Fibra optica,1,1,1,Dois anos,3.6,108.2,6825.6,6717.5,Permaneceram
0,Masculino,0,0,0,71,1,1,Fibra optica,1,1,1,Um ano,3.9,116.3,8309.6,8193.2,Permaneceram
0,Masculino,1,1,0,7,1,0,Fibra optica,0,1,1,Mensal,3.0,89.0,605.4,516.4,Permaneceram
0,Feminino,0,1,1,27,1,0,Fibra optica,0,0,0,Mensal,2.5,74.4,1972.4,1898.0,Permaneceram
0,Masculino,0,0,0,2,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.0,33.7,13.7,Permaneceram
0,Feminino,0,0,1,25,0,0,DSL,1,0,0,Dois anos,1.2,35.0,844.4,809.4,Permaneceram
0,Masculino,1,0,0,30,1,0,DSL,0,1,1,Mensal,2.5,74.8,2111.3,2036.6,Permaneceram
1,Feminino,1,1,0,58,1,0,Fibra optica,1,1,1,Um ano,3.5,105.5,6205.5,6100.0,Saíram
1,Masculino,0,1,0,10,1,1,Fibra optica,0,0,1,Mensal,2.8,85.2,855.3,770.0,Saíram
0,Feminino,0,0,0,9,1,1,Fibra optica,0,0,0,Mensal,2.5,75.2,633.8,558.6,Permaneceram
1,Feminino,1,1,0,6,1,1,Fibra optica,0,0,1,Mensal,2.8,84.4,474.9,390.5,Saíram
0,Feminino,0,1,1,69,1,1,Fibra optica,0,0,0,Um ano,2.8,84.4,5848.6,5764.2,Permaneceram
0,Feminino,1,0,0,66,1,1,Fibra optica,0,1,1,Dois anos,3.4,102.4,6471.8,6369.5,Permaneceram
1,Feminino,0,0,0,70,1,1,Fibra optica,1,1,1,Um ano,3.9,115.6,8127.6,8012.0,Saíram
1,Masculino,0,0,0,25,1,1,Nao disponivel,0,0,0,Um ano,0.8,25.3,676.4,651.1,Saíram
0,Feminino,0,1,1,46,1,0,Nao disponivel,0,0,0,Dois anos,0.6,19.2,864.2,845.0,Permaneceram
0,Feminino,0,1,0,54,1,1,Fibra optica,1,1,1,Um ano,3.8,114.6,6049.5,5934.8,Permaneceram
1,Feminino,0,0,0,15,1,0,Fibra optica,1,1,1,Mensal,3.5,105.1,1582.8,1477.6,Saíram
0,Feminino,0,1,1,12,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,198.1,178.7,Permaneceram
0,Feminino,0,0,0,22,0,0,DSL,0,1,1,Mensal,1.7,50.4,1098.8,1048.5,Permaneceram
0,Feminino,0,1,0,70,0,0,DSL,1,1,1,Dois anos,1.9,57.8,4039.3,3981.5,Permaneceram
0,Masculino,0,0,0,30,1,0,Fibra optica,0,0,0,Mensal,2.8,84.3,2438.6,2354.3,Permaneceram
0,Masculino,0,1,1,71,1,1,Fibra optica,0,1,1,Um ano,3.4,100.6,7113.8,7013.2,Permaneceram
0,Masculino,0,1,0,30,1,0,Nao disponivel,0,0,0,Um ano,0.7,19.8,576.6,556.8,Permaneceram
1,Masculino,0,1,1,4,1,1,Fibra optica,0,0,0,Mensal,2.8,84.8,371.9,287.1,Saíram
1,Masculino,0,0,0,2,1,0,Fibra optica,0,0,1,Mensal,2.9,85.8,167.3,81.5,Saíram
0,Masculino,0,0,1,10,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.0,219.5,199.6,Permaneceram
0,Masculino,1,0,0,4,1,0,Fibra optica,0,0,0,Mensal,2.5,75.4,273.4,198.0,Permaneceram
0,Masculino,1,0,0,52,0,0,DSL,0,1,1,Mensal,1.6,48.8,2555.0,2506.2,Permaneceram
1,Masculino,0,0,0,5,1,1,DSL,0,0,0,Mensal,1.6,47.2,223.2,176.0,Saíram
0,Masculino,0,1,1,8,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.2,165.5,145.4,Permaneceram
0,Feminino,1,0,0,2,1,0,DSL,0,0,0,Mensal,1.5,44.3,89.3,45.0,Permaneceram
0,Masculino,0,0,0,3,1,0,Fibra optica,0,0,1,Mensal,2.8,84.3,235.0,150.8,Permaneceram
0,Masculino,0,0,0,19,1,1,DSL,1,0,0,Mensal,2.0,59.6,1144.6,1085.0,Permaneceram
0,Masculino,0,0,0,72,1,1,DSL,1,0,0,Dois anos,2.3,69.6,4908.2,4838.6,Permaneceram
0,Masculino,1,1,0,63,0,0,DSL,1,0,0,Um ano,1.2,36.1,2298.9,2262.8,Permaneceram
0,Masculino,0,1,0,66,0,0,DSL,1,1,0,Dois anos,1.9,56.6,3789.2,3732.6,Permaneceram
1,Masculino,0,0,0,1,1,0,Fibra optica,1,0,0,Mensal,2.5,75.9,75.9,0.0,Saíram
0,Feminino,0,0,0,60,1,1,Fibra optica,0,0,0,Um ano,2.6,79.2,4765.0,4685.8,Permaneceram
0,Feminino,0,1,1,48,0,0,DSL,0,0,1,Um ano,1.5,45.0,2196.3,2151.3,Permaneceram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,1,0,Mensal,2.9,85.6,85.6,0.0,Saíram
1,Masculino,0,0,0,15,1,1,Fibra optica,0,1,1,Mensal,3.1,93.4,1444.6,1351.3,Saíram
0,Feminino,0,1,0,50,1,1,Fibra optica,1,1,1,Mensal,3.7,109.6,5405.8,5296.2,Permaneceram
0,Masculino,0,1,1,72,1,1,DSL,1,1,1,Dois anos,3.0,89.7,6339.3,6249.6,Permaneceram
0,Feminino,0,0,0,46,1,1,Fibra optica,0,0,0,Mensal,2.8,84.2,3847.6,3763.4,Permaneceram
0,Feminino,0,1,1,72,1,1,DSL,1,1,1,Dois anos,3.1,92.6,6733.0,6640.4,Permaneceram
0,Masculino,0,1,1,1,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.7,19.7,0.0,Permaneceram
0,Feminino,0,0,0,1,1,1,DSL,0,0,0,Mensal,1.7,50.1,50.1,0.0,Permaneceram
0,Feminino,1,0,0,67,1,0,Fibra optica,1,1,0,Dois anos,3.1,92.4,6140.8,6048.4,Permaneceram
0,Feminino,0,1,1,48,1,1,DSL,1,1,1,Dois anos,2.7,79.6,3870.3,3790.6,Permaneceram
0,Feminino,0,0,0,72,1,0,Fibra optica,1,1,1,Dois anos,3.7,109.9,7624.2,7514.3,Permaneceram
0,Masculino,0,1,0,52,1,1,DSL,1,0,1,Um ano,2.7,81.4,4354.4,4273.0,Permaneceram
0,Feminino,0,1,1,67,1,0,DSL,0,0,0,Um ano,1.7,50.6,3431.8,3381.2,Permaneceram
1,Feminino,0,1,1,28,1,0,Fibra optica,0,0,1,Mensal,2.7,81.0,2227.1,2146.0,Saíram
0,Feminino,0,1,1,32,1,1,DSL,0,0,0,Mensal,2.1,62.4,2045.6,1983.1,Permaneceram
1,Feminino,1,1,0,27,1,0,Fibra optica,0,0,0,Mensal,2.5,75.2,1929.4,1854.2,Saíram
0,Masculino,0,0,0,3,1,0,Fibra optica,0,0,1,Mensal,3.0,90.4,268.4,178.0,Permaneceram
1,Masculino,0,0,0,2,1,1,Fibra optica,0,1,0,Mensal,2.9,85.6,181.5,95.8,Saíram
1,Feminino,0,0,1,9,1,0,DSL,1,1,1,Mensal,2.4,72.9,651.4,578.5,Saíram
0,Masculino,0,1,1,50,1,1,DSL,1,1,0,Dois anos,2.4,70.5,3486.6,3416.2,Permaneceram
0,Feminino,0,1,1,71,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.1,1389.6,1369.5,Permaneceram
1,Masculino,1,1,0,32,1,1,Fibra optica,0,0,0,Mensal,2.5,74.9,2303.4,2228.4,Saíram
0,Feminino,0,1,1,16,1,0,Fibra optica,0,1,1,Mensal,3.4,100.7,1522.7,1422.0,Permaneceram
0,Feminino,0,1,1,67,1,1,Fibra optica,1,1,1,Dois anos,3.5,105.6,6717.9,6612.2,Permaneceram
0,Masculino,0,1,1,72,1,1,Fibra optica,1,1,1,Dois anos,3.8,114.3,8058.6,7944.2,Permaneceram
1,Feminino,0,0,0,3,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.8,58.8,39.1,Saíram
0,Masculino,0,1,1,23,1,1,Nao disponivel,0,0,0,Um ano,0.8,24.4,538.5,514.2,Permaneceram
0,Masculino,0,1,1,72,1,1,DSL,1,0,0,Dois anos,2.3,69.8,5102.4,5032.5,Permaneceram
0,Masculino,0,1,1,7,0,0,DSL,0,1,1,Mensal,2.0,58.8,465.7,406.8,Permaneceram
0,Masculino,0,1,1,8,1,0,DSL,0,1,0,Mensal,1.8,54.4,475.1,420.7,Permaneceram
0,Masculino,0,1,1,66,0,0,DSL,1,1,1,Dois anos,1.7,50.6,3364.6,3314.0,Permaneceram
1,Masculino,0,0,0,5,1,0,Nao disponivel,0,0,0,Mensal,0.7,21.0,113.8,92.8,Saíram
1,Masculino,0,0,0,49,1,1,Fibra optica,0,1,1,Mensal,3.5,103.7,5036.3,4932.6,Saíram
0,Masculino,0,1,0,63,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,1234.8,1214.8,Permaneceram
0,Feminino,1,1,1,12,0,0,DSL,1,0,0,Mensal,1.0,29.3,355.9,326.6,Permaneceram
0,Masculino,0,1,1,27,1,0,DSL,0,0,0,Mensal,1.8,54.8,1510.3,1455.6,Permaneceram
0,Feminino,0,0,0,35,1,0,DSL,0,0,0,Mensal,2.0,60.6,1982.6,1922.0,Permaneceram
0,Feminino,0,1,1,54,1,1,DSL,1,1,1,Mensal,2.9,86.2,4524.0,4437.8,Permaneceram
1,Masculino,0,0,0,1,1,1,Fibra optica,0,1,1,Mensal,3.2,95.4,95.4,0.0,Saíram
0,Masculino,0,0,0,5,1,0,DSL,1,1,0,Mensal,2.1,64.0,318.1,254.2,Permaneceram
0,Masculino,0,0,0,19,1,0,DSL,1,0,1,Um ano,2.2,65.4,1231.8,1166.5,Permaneceram
0,Masculino,0,1,1,52,0,0,DSL,1,1,0,Dois anos,1.7,50.2,2554.0,2503.8,Permaneceram
0,Feminino,0,1,1,72,0,0,DSL,1,1,1,Dois anos,2.1,63.8,4684.3,4620.5,Permaneceram
0,Masculino,0,0,0,32,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.0,614.4,594.4,Permaneceram
1,Feminino,0,1,0,8,1,0,Fibra optica,0,1,1,Mensal,3.4,101.2,842.9,741.8,Saíram
0,Masculino,0,0,0,41,1,1,DSL,0,0,1,Um ano,2.2,65.0,2531.8,2466.8,Permaneceram
0,Masculino,0,0,0,5,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.2,86.0,66.8,Permaneceram
0,Feminino,0,0,1,11,0,0,DSL,1,0,0,Um ano,1.2,36.0,402.6,366.6,Permaneceram
1,Masculino,0,0,0,5,1,0,Fibra optica,1,1,1,Mensal,3.2,96.1,453.4,357.3,Saíram
0,Feminino,0,0,0,16,1,0,Nao disponivel,0,0,0,Um ano,0.6,19.0,326.6,307.6,Permaneceram
0,Masculino,1,0,0,71,1,1,Fibra optica,1,1,1,Um ano,3.5,105.8,7382.8,7277.1,Permaneceram
0,Feminino,0,0,0,11,0,0,DSL,1,0,0,Um ano,1.3,40.4,422.6,382.2,Permaneceram
1,Feminino,0,1,1,61,1,1,Fibra optica,0,1,1,Mensal,3.3,99.2,6010.0,5910.9,Saíram
0,Feminino,0,1,0,71,1,0,DSL,1,1,1,Um ano,2.8,84.8,6046.1,5961.3,Permaneceram
0,Masculino,0,0,0,9,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.8,178.8,159.0,Permaneceram
0,Feminino,0,0,0,6,1,0,DSL,0,0,0,Mensal,1.6,49.4,314.6,265.2,Permaneceram
1,Feminino,0,0,0,26,1,0,Fibra optica,0,1,1,Mensal,3.0,88.8,2274.4,2185.5,Saíram
0,Feminino,0,0,0,6,1,0,DSL,0,0,0,Mensal,1.8,55.2,322.9,267.8,Permaneceram
0,Masculino,0,0,0,11,1,0,Fibra optica,0,0,1,Mensal,2.8,84.8,888.8,804.0,Permaneceram
1,Masculino,0,1,0,1,1,0,Fibra optica,0,1,0,Mensal,2.7,80.6,80.6,0.0,Saíram
0,Feminino,0,1,0,49,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.2,973.4,953.2,Permaneceram
0,Feminino,0,1,1,3,1,0,DSL,0,1,0,Mensal,2.0,58.7,168.6,109.9,Permaneceram
0,Feminino,0,0,0,53,1,0,Fibra optica,1,0,1,Dois anos,3.3,99.5,5424.2,5324.8,Permaneceram
1,Masculino,0,1,1,23,1,0,Fibra optica,1,1,1,Mensal,3.3,99.8,2331.3,2231.5,Saíram
1,Masculino,0,0,0,2,1,0,DSL,0,0,0,Mensal,1.5,45.4,89.5,44.2,Saíram
1,Masculino,0,0,0,1,1,0,DSL,0,0,0,Mensal,1.6,48.6,48.6,0.0,Saíram
0,Masculino,0,0,1,3,1,1,Nao disponivel,0,0,0,Dois anos,0.9,26.4,121.2,94.8,Permaneceram
1,Feminino,1,1,0,68,1,1,Fibra optica,0,1,1,Mensal,3.3,100.2,6851.6,6751.4,Saíram
1,Masculino,0,0,0,8,1,0,Fibra optica,0,1,1,Mensal,3.2,94.7,740.3,645.6,Saíram
0,Feminino,0,1,0,70,1,1,Fibra optica,0,1,1,Um ano,3.3,97.6,6982.5,6884.8,Permaneceram
0,Masculino,0,1,1,39,1,1,Fibra optica,0,1,1,Um ano,3.3,100.0,3835.6,3735.6,Permaneceram
1,Feminino,0,0,0,1,1,0,Fibra optica,0,0,0,Mensal,2.3,70.1,70.1,0.0,Saíram
1,Feminino,0,0,0,3,1,0,Fibra optica,1,1,1,Mensal,3.3,97.9,315.3,217.4,Saíram
0,Masculino,0,1,0,60,1,1,Fibra optica,0,1,1,Um ano,3.4,102.5,6157.6,6055.1,Permaneceram
1,Feminino,0,1,0,5,1,0,Fibra optica,0,0,0,Mensal,2.3,70.0,330.2,260.2,Saíram
1,Masculino,1,0,0,3,1,1,Fibra optica,0,0,0,Mensal,2.7,81.4,233.7,152.4,Saíram
0,Feminino,0,1,0,55,1,1,DSL,1,0,0,Um ano,2.2,66.0,3462.1,3396.0,Permaneceram
0,Masculino,0,0,0,72,0,0,DSL,1,1,1,Dois anos,2.0,61.2,4390.2,4329.0,Permaneceram
0,Masculino,1,1,0,72,1,0,DSL,1,1,0,Dois anos,2.5,74.4,5360.8,5286.4,Permaneceram
1,Feminino,0,0,0,41,1,1,Fibra optica,0,1,1,Mensal,3.5,106.3,4443.4,4337.2,Saíram
0,Masculino,0,0,0,60,0,0,DSL,0,0,0,Dois anos,1.3,39.6,2424.5,2384.9,Permaneceram
1,Feminino,0,0,0,6,1,0,Fibra optica,0,1,1,Mensal,3.0,89.3,577.6,488.3,Saíram
0,Feminino,0,1,0,46,1,1,Fibra optica,1,1,1,Dois anos,3.6,108.9,4854.3,4745.4,Permaneceram
0,Feminino,0,0,0,15,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.9,320.4,300.6,Permaneceram
1,Feminino,0,1,0,58,1,1,Fibra optica,1,1,1,Mensal,3.4,102.1,5885.4,5783.3,Saíram
0,Masculino,0,1,1,23,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.6,426.6,407.0,Permaneceram
1,Feminino,1,1,1,31,1,0,Fibra optica,1,1,1,Mensal,3.3,98.9,2911.3,2812.4,Saíram
